employee_id,shift_id,day,start_dt,end_dt,duration_h,role,required_staff
E001,D01_NURSE_MORNING,2025-11-01,2025-11-01 06:00:00,2025-11-01 14:00:00,8.0,nurse,6
E001,D01_NURSE_EVENING,2025-11-01,2025-11-01 14:00:00,2025-11-01 22:00:00,8.0,nurse,5
E001,D04_NURSE_MORNING,2025-11-04,2025-11-04 06:00:00,2025-11-04 14:00:00,8.0,nurse,6
E001,D04_NURSE_EVENING,2025-11-04,2025-11-04 14:00:00,2025-11-04 22:00:00,8.0,nurse,5
E001,D06_NURSE_EVENING,2025-11-06,2025-11-06 14:00:00,2025-11-06 22:00:00,8.0,nurse,5
E001,D07_NURSE_MORNING,2025-11-07,2025-11-07 06:00:00,2025-11-07 14:00:00,8.0,nurse,6
E002,D03_NURSE_EVENING,2025-11-03,2025-11-03 14:00:00,2025-11-03 22:00:00,8.0,nurse,5
E002,D03_NURSE_NIGHT,2025-11-03,2025-11-03 22:00:00,2025-11-04 06:00:00,8.0,nurse,4
E002,D06_NURSE_EVENING,2025-11-06,2025-11-06 14:00:00,2025-11-06 22:00:00,8.0,nurse,5
E002,D06_NURSE_NIGHT,2025-11-06,2025-11-06 22:00:00,2025-11-07 06:00:00,8.0,nurse,4
E002,D07_NURSE_MORNING,2025-11-07,2025-11-07 06:00:00,2025-11-07 14:00:00,8.0,nurse,6
E002,D07_NURSE_EVENING,2025-11-07,2025-11-07 14:00:00,2025-11-07 22:00:00,8.0,nurse,5
E002,D07_NURSE_NIGHT,2025-11-07,2025-11-07 22:00:00,2025-11-08 06:00:00,8.0,nurse,4
E003,D01_NURSE_EVENING,2025-11-01,2025-11-01 14:00:00,2025-11-01 22:00:00,8.0,nurse,5
E003,D01_NURSE_NIGHT,2025-11-01,2025-11-01 22:00:00,2025-11-02 06:00:00,8.0,nurse,4
E003,D02_NURSE_NIGHT,2025-11-02,2025-11-02 22:00:00,2025-11-03 06:00:00,8.0,nurse,4
E003,D03_NURSE_MORNING,2025-11-03,2025-11-03 06:00:00,2025-11-03 14:00:00,8.0,nurse,6
E003,D03_NURSE_EVENING,2025-11-03,2025-11-03 14:00:00,2025-11-03 22:00:00,8.0,nurse,5
E003,D03_NURSE_NIGHT,2025-11-03,2025-11-03 22:00:00,2025-11-04 06:00:00,8.0,nurse,4
E003,D04_NURSE_MORNING,2025-11-04,2025-11-04 06:00:00,2025-11-04 14:00:00,8.0,nurse,6
E003,D04_NURSE_EVENING,2025-11-04,2025-11-04 14:00:00,2025-11-04 22:00:00,8.0,nurse,5
E003,D04_NURSE_NIGHT,2025-11-04,2025-11-04 22:00:00,2025-11-05 06:00:00,8.0,nurse,4
E003,D05_NURSE_MORNING,2025-11-05,2025-11-05 06:00:00,2025-11-05 14:00:00,8.0,nurse,6
E003,D05_NURSE_EVENING,2025-11-05,2025-11-05 14:00:00,2025-11-05 22:00:00,8.0,nurse,5
E003,D05_NURSE_NIGHT,2025-11-05,2025-11-05 22:00:00,2025-11-06 06:00:00,8.0,nurse,4
E003,D06_NURSE_MORNING,2025-11-06,2025-11-06 06:00:00,2025-11-06 14:00:00,8.0,nurse,6
E003,D06_NURSE_EVENING,2025-11-06,2025-11-06 14:00:00,2025-11-06 22:00:00,8.0,nurse,5
E003,D06_NURSE_NIGHT,2025-11-06,2025-11-06 22:00:00,2025-11-07 06:00:00,8.0,nurse,4
E003,D07_NURSE_MORNING,2025-11-07,2025-11-07 06:00:00,2025-11-07 14:00:00,8.0,nurse,6
