employee_id,shift_id,score
E001,D01_NURSE_MORNING,3
E002,D01_NURSE_MORNING,2
E005,D01_NURSE_NIGHT,-2
E026,D01_DOCTOR_DAY,2
E030,D01_DOCTOR_DAY,1
E001,D02_NURSE_MORNING,3
E002,D02_NURSE_MORNING,2
E005,D02_NURSE_NIGHT,-2
E026,D02_DOCTOR_DAY,2
E030,D02_DOCTOR_DAY,1
E033,D02_TRIAGE_PEAK,-2
E001,D03_NURSE_MORNING,3
E002,D03_NURSE_MORNING,2
E005,D03_NURSE_NIGHT,-2
E026,D03_DOCTOR_DAY,2
E030,D03_DOCTOR_DAY,1
E001,D04_NURSE_MORNING,3
E002,D04_NURSE_MORNING,2
E005,D04_NURSE_NIGHT,-2
E026,D04_DOCTOR_DAY,2
E030,D04_DOCTOR_DAY,1
E045,D04_THERAPIST_DAY,2
E001,D05_NURSE_MORNING,3
E002,D05_NURSE_MORNING,2
E005,D05_NURSE_NIGHT,-2
E026,D05_DOCTOR_DAY,2
E030,D05_DOCTOR_DAY,1
E033,D05_TRIAGE_PEAK,-2
E001,D06_NURSE_MORNING,3
E002,D06_NURSE_MORNING,2
E005,D06_NURSE_NIGHT,-2
E026,D06_DOCTOR_DAY,2
E030,D06_DOCTOR_DAY,1
E001,D07_NURSE_MORNING,3
E002,D07_NURSE_MORNING,2
E005,D07_NURSE_NIGHT,-2
E026,D07_DOCTOR_DAY,2
E030,D07_DOCTOR_DAY,1
E045,D07_THERAPIST_DAY,2
