employee_id,shift_id,is_available
E001,D01_NURSE_MORNING,1
E002,D01_NURSE_MORNING,1
E003,D01_NURSE_MORNING,1
E004,D01_NURSE_MORNING,1
E005,D01_NURSE_MORNING,1
E006,D01_NURSE_MORNING,1
E007,D01_NURSE_MORNING,1
E008,D01_NURSE_MORNING,1
E009,D01_NURSE_MORNING,1
E010,D01_NURSE_MORNING,1
E011,D01_NURSE_MORNING,1
E012,D01_NURSE_MORNING,1
E013,D01_NURSE_MORNING,1
E014,D01_NURSE_MORNING,1
E015,D01_NURSE_MORNING,1
E016,D01_NURSE_MORNING,1
E017,D01_NURSE_MORNING,1
E018,D01_NURSE_MORNING,1
E019,D01_NURSE_MORNING,1
E020,D01_NURSE_MORNING,1
E021,D01_NURSE_MORNING,1
E022,D01_NURSE_MORNING,1
E023,D01_NURSE_MORNING,1
E024,D01_NURSE_MORNING,1
E025,D01_NURSE_MORNING,1
E001,D01_NURSE_EVENING,1
E002,D01_NURSE_EVENING,1
E003,D01_NURSE_EVENING,1
E004,D01_NURSE_EVENING,1
E005,D01_NURSE_EVENING,1
E006,D01_NURSE_EVENING,1
E007,D01_NURSE_EVENING,1
E008,D01_NURSE_EVENING,1
E009,D01_NURSE_EVENING,1
E010,D01_NURSE_EVENING,1
E011,D01_NURSE_EVENING,1
E012,D01_NURSE_EVENING,1
E013,D01_NURSE_EVENING,1
E014,D01_NURSE_EVENING,1
E015,D01_NURSE_EVENING,1
E016,D01_NURSE_EVENING,1
E017,D01_NURSE_EVENING,1
E018,D01_NURSE_EVENING,1
E019,D01_NURSE_EVENING,1
E020,D01_NURSE_EVENING,1
E021,D01_NURSE_EVENING,1
E022,D01_NURSE_EVENING,1
E023,D01_NURSE_EVENING,1
E024,D01_NURSE_EVENING,1
E025,D01_NURSE_EVENING,1
E001,D01_NURSE_NIGHT,0
E002,D01_NURSE_NIGHT,1
E003,D01_NURSE_NIGHT,1
E004,D01_NURSE_NIGHT,1
E005,D01_NURSE_NIGHT,1
E006,D01_NURSE_NIGHT,0
E007,D01_NURSE_NIGHT,1
E008,D01_NURSE_NIGHT,1
E009,D01_NURSE_NIGHT,1
E010,D01_NURSE_NIGHT,1
E011,D01_NURSE_NIGHT,0
E012,D01_NURSE_NIGHT,1
E013,D01_NURSE_NIGHT,1
E014,D01_NURSE_NIGHT,1
E015,D01_NURSE_NIGHT,1
E016,D01_NURSE_NIGHT,0
E017,D01_NURSE_NIGHT,1
E018,D01_NURSE_NIGHT,1
E019,D01_NURSE_NIGHT,1
E020,D01_NURSE_NIGHT,1
E021,D01_NURSE_NIGHT,0
E022,D01_NURSE_NIGHT,1
