employee_id,shift_id,day,start_dt,end_dt,duration_h,role,required_staff
E1,S2_N1,2025-09-30,2025-09-30 08:00:00,2025-09-30 16:00:00,8.0,nurse,1
E1,S3_N1,2025-10-01,2025-10-01 08:00:00,2025-10-01 16:00:00,8.0,nurse,1
E1,S5_N2,2025-10-03,2025-10-03 16:00:00,2025-10-04 00:00:00,8.0,nurse,1
E1,S6_N2,2025-10-04,2025-10-04 16:00:00,2025-10-05 00:00:00,8.0,nurse,1
E2,S1_N2,2025-09-29,2025-09-29 16:00:00,2025-09-30 00:00:00,8.0,nurse,1
E2,S5_N1,2025-10-03,2025-10-03 08:00:00,2025-10-03 16:00:00,8.0,nurse,1
E2,S6_N1,2025-10-04,2025-10-04 08:00:00,2025-10-04 16:00:00,8.0,nurse,1
E2,S7_N1,2025-10-05,2025-10-05 08:00:00,2025-10-05 16:00:00,8.0,nurse,1
E3,S3_D1,2025-10-01,2025-10-01 08:00:00,2025-10-01 20:00:00,12.0,doctor,1
E3,S5_D1,2025-10-03,2025-10-03 08:00:00,2025-10-03 20:00:00,12.0,doctor,1
E3,S6_D1,2025-10-04,2025-10-04 08:00:00,2025-10-04 20:00:00,12.0,doctor,1
E3,S7_D1,2025-10-05,2025-10-05 08:00:00,2025-10-05 20:00:00,12.0,doctor,1
E4,S1_N1,2025-09-29,2025-09-29 08:00:00,2025-09-29 16:00:00,8.0,nurse,1
E4,S2_N2,2025-09-30,2025-09-30 16:00:00,2025-10-01 00:00:00,8.0,nurse,1
E4,S3_N2,2025-10-01,2025-10-01 16:00:00,2025-10-02 00:00:00,8.0,nurse,1
E4,S4_N2,2025-10-02,2025-10-02 16:00:00,2025-10-03 00:00:00,8.0,nurse,1
E5,S1_D1,2025-09-29,2025-09-29 08:00:00,2025-09-29 20:00:00,12.0,doctor,1
E5,S2_D1,2025-09-30,2025-09-30 08:00:00,2025-09-30 20:00:00,12.0,doctor,1
E5,S4_D1,2025-10-02,2025-10-02 08:00:00,2025-10-02 20:00:00,12.0,doctor,1
E6,S4_N1,2025-10-02,2025-10-02 08:00:00,2025-10-02 16:00:00,8.0,nurse,1
E6,S7_N2,2025-10-05,2025-10-05 16:00:00,2025-10-06 00:00:00,8.0,nurse,1
