window_id,day,window_start,window_end,role,window_demand,skills
W_2025-10-06_NURSE_MORNING,2025-10-06,08:00,16:00,nurse,4,first_aid:1
W_2025-10-06_NURSE_EVENING,2025-10-06,16:00,22:00,nurse,3,first_aid:1
W_2025-10-06_NURSE_NIGHT_A,2025-10-06,22:00,23:30,nurse,2,first_aid:1
W_2025-10-07_NURSE_NIGHT_B,2025-10-07,00:30,06:30,nurse,2,first_aid:1
W_2025-10-06_ICU_MORNING,2025-10-06,08:00,16:00,icu_nurse,2,icu:1
W_2025-10-06_ICU_EVENING,2025-10-06,16:00,22:00,icu_nurse,1,icu:1
W_2025-10-06_ICU_NIGHT_A,2025-10-06,22:00,23:30,icu_nurse,1,icu:1
W_2025-10-07_ICU_NIGHT_B,2025-10-07,00:30,06:30,icu_nurse,1,icu:1
W_2025-10-06_DOCTOR_DAY,2025-10-06,08:00,18:00,doctor,2,emergency:1
W_2025-10-06_DOCTOR_EVENING,2025-10-06,14:00,22:00,doctor,1,emergency:1
W_2025-10-06_DOCTOR_NIGHT_A,2025-10-06,22:00,23:30,doctor,1,emergency:1
W_2025-10-07_DOCTOR_NIGHT_B,2025-10-07,00:30,06:30,doctor,1,emergency:1
W_2025-10-06_TRIAGE_PEAK,2025-10-06,10:00,18:00,triage,2,first_aid:1
W_2025-10-06_RECEP_DAY,2025-10-06,08:00,16:00,receptionist,1,admin:1
W_2025-10-06_LAB_DAY,2025-10-06,07:00,15:00,labtech,1,lab:1
W_2025-10-06_RAD_DAY,2025-10-06,09:00,17:00,radiology,1,radiology:1
W_2025-10-07_NURSE_MORNING,2025-10-07,07:30,15:30,nurse,4,first_aid:1
W_2025-10-07_NURSE_EVENING,2025-10-07,16:30,22:30,nurse,3,first_aid:1
W_2025-10-07_NURSE_NIGHT_A,2025-10-07,22:30,23:30,nurse,2,first_aid:1
W_2025-10-08_NURSE_NIGHT_B,2025-10-08,00:30,06:30,nurse,2,first_aid:1
W_2025-10-07_ICU_MORNING,2025-10-07,07:30,15:30,icu_nurse,2,icu:1
W_2025-10-07_ICU_EVENING,2025-10-07,16:30,22:30,icu_nurse,1,icu:1
W_2025-10-07_ICU_NIGHT_A,2025-10-07,22:30,23:30,icu_nurse,1,icu:1
W_2025-10-08_ICU_NIGHT_B,2025-10-08,00:30,06:30,icu_nurse,1,icu:1
W_2025-10-07_DOCTOR_DAY,2025-10-07,08:30,18:30,doctor,2,emergency:1
W_2025-10-07_DOCTOR_EVENING,2025-10-07,13:30,21:30,doctor,1,emergency:1
W_2025-10-07_DOCTOR_NIGHT_A,2025-10-07,22:30,23:30,doctor,1,emergency:1
W_2025-10-08_DOCTOR_NIGHT_B,2025-10-08,00:30,06:30,doctor,1,emergency:1
W_2025-10-07_TRIAGE_PEAK,2025-10-07,09:30,17:30,triage,2,first_aid:1
W_2025-10-07_RECEP_DAY,2025-10-07,08:30,16:30,receptionist,1,admin:1
W_2025-10-07_LAB_DAY,2025-10-07,07:30,15:30,labtech,1,lab:1
W_2025-10-07_RAD_DAY,2025-10-07,08:30,16:30,radiology,1,radiology:1
W_2025-10-08_NURSE_MORNING,2025-10-08,08:30,16:30,nurse,4,first_aid:1
W_2025-10-08_NURSE_EVENING,2025-10-08,15:30,21:30,nurse,3,first_aid:1
W_2025-10-08_NURSE_NIGHT_A,2025-10-08,23:00,23:30,nurse,2,first_aid:1
W_2025-10-09_NURSE_NIGHT_B,2025-10-09,00:30,06:30,nurse,2,first_aid:1
W_2025-10-08_ICU_MORNING,2025-10-08,08:00,16:00,icu_nurse,2,icu:1
W_2025-10-08_ICU_EVENING,2025-10-08,16:00,22:00,icu_nurse,1,icu:1
W_2025-10-08_ICU_NIGHT_A,2025-10-08,22:00,23:30,icu_nurse,1,icu:1
W_2025-10-09_ICU_NIGHT_B,2025-10-09,00:30,06:30,icu_nurse,1,icu:1
W_2025-10-08_DOCTOR_DAY,2025-10-08,09:00,17:00,doctor,2,emergency:1
W_2025-10-08_DOCTOR_EVENING,2025-10-08,14:00,22:00,doctor,1,emergency:1
W_2025-10-08_DOCTOR_NIGHT_A,2025-10-08,22:00,23:30,doctor,1,emergency:1
W_2025-10-09_DOCTOR_NIGHT_B,2025-10-09,00:30,06:30,doctor,1,emergency:1
W_2025-10-08_TRIAGE_PEAK,2025-10-08,11:00,19:00,triage,2,first_aid:1
W_2025-10-08_RECEP_DAY,2025-10-08,07:30,15:30,receptionist,1,admin:1
W_2025-10-08_LAB_DAY,2025-10-08,07:00,15:00,labtech,1,lab:1
W_2025-10-08_RAD_DAY,2025-10-08,09:30,17:30,radiology,1,radiology:1
W_2025-10-09_NURSE_MORNING,2025-10-09,08:00,16:00,nurse,4,first_aid:1
W_2025-10-09_NURSE_EVENING,2025-10-09,16:00,22:00,nurse,3,first_aid:1
W_2025-10-09_NURSE_NIGHT_A,2025-10-09,22:00,23:30,nurse,2,first_aid:1
W_2025-10-10_NURSE_NIGHT_B,2025-10-10,00:30,06:30,nurse,2,first_aid:1
W_2025-10-09_ICU_MORNING,2025-10-09,07:30,15:30,icu_nurse,2,icu:1
W_2025-10-09_ICU_EVENING,2025-10-09,16:30,22:30,icu_nurse,1,icu:1
W_2025-10-09_ICU_NIGHT_A,2025-10-09,22:30,23:30,icu_nurse,1,icu:1
W_2025-10-10_ICU_NIGHT_B,2025-10-10,00:30,06:30,icu_nurse,1,icu:1
W_2025-10-09_DOCTOR_DAY,2025-10-09,08:00,18:00,doctor,2,emergency:1
W_2025-10-09_DOCTOR_EVENING,2025-10-09,13:30,21:30,doctor,1,emergency:1
W_2025-10-09_DOCTOR_NIGHT_A,2025-10-09,22:30,23:30,doctor,1,emergency:1
W_2025-10-10_DOCTOR_NIGHT_B,2025-10-10,00:30,06:30,doctor,1,emergency:1
W_2025-10-09_TRIAGE_PEAK,2025-10-09,10:00,18:00,triage,2,first_aid:1
W_2025-10-09_RECEP_DAY,2025-10-09,08:00,16:00,receptionist,1,admin:1
W_2025-10-09_LAB_DAY,2025-10-09,07:30,15:30,labtech,1,lab:1
W_2025-10-09_RAD_DAY,2025-10-09,09:00,17:00,radiology,1,radiology:1
W_2025-10-10_NURSE_MORNING,2025-10-10,07:30,15:30,nurse,4,first_aid:1
W_2025-10-10_NURSE_EVENING,2025-10-10,16:30,22:30,nurse,3,first_aid:1
W_2025-10-10_NURSE_NIGHT_A,2025-10-10,22:30,23:30,nurse,2,first_aid:1
W_2025-10-11_NURSE_NIGHT_B,2025-10-11,00:30,06:30,nurse,2,first_aid:1
W_2025-10-10_ICU_MORNING,2025-10-10,08:00,16:00,icu_nurse,2,icu:1
W_2025-10-10_ICU_EVENING,2025-10-10,16:00,22:00,icu_nurse,1,icu:1
W_2025-10-10_ICU_NIGHT_A,2025-10-10,22:00,23:30,icu_nurse,1,icu:1
W_2025-10-11_ICU_NIGHT_B,2025-10-11,00:30,06:30,icu_nurse,1,icu:1
W_2025-10-10_DOCTOR_DAY,2025-10-10,08:30,18:30,doctor,2,emergency:1
W_2025-10-10_DOCTOR_EVENING,2025-10-10,14:00,22:00,doctor,1,emergency:1
W_2025-10-10_DOCTOR_NIGHT_A,2025-10-10,22:00,23:30,doctor,1,emergency:1
W_2025-10-11_DOCTOR_NIGHT_B,2025-10-11,00:30,06:30,doctor,1,emergency:1
W_2025-10-10_TRIAGE_PEAK,2025-10-10,09:30,17:30,triage,2,first_aid:1
W_2025-10-10_RECEP_DAY,2025-10-10,08:30,16:30,receptionist,1,admin:1
W_2025-10-10_LAB_DAY,2025-10-10,07:00,15:00,labtech,1,lab:1
W_2025-10-10_RAD_DAY,2025-10-10,08:30,16:30,radiology,1,radiology:1
W_2025-10-11_NURSE_MORNING,2025-10-11,08:30,16:30,nurse,3,first_aid:1
W_2025-10-11_NURSE_EVENING,2025-10-11,15:30,21:30,nurse,2,first_aid:1
W_2025-10-11_NURSE_NIGHT_A,2025-10-11,23:00,23:30,nurse,2,first_aid:1
W_2025-10-12_NURSE_NIGHT_B,2025-10-12,00:30,06:30,nurse,1,first_aid:1
W_2025-10-11_ICU_MORNING,2025-10-11,07:30,15:30,icu_nurse,2,icu:1
W_2025-10-11_ICU_EVENING,2025-10-11,16:30,22:30,icu_nurse,1,icu:1
W_2025-10-11_ICU_NIGHT_A,2025-10-11,22:30,23:30,icu_nurse,1,icu:1
W_2025-10-12_ICU_NIGHT_B,2025-10-12,00:30,06:30,icu_nurse,1,icu:1
W_2025-10-11_DOCTOR_DAY,2025-10-11,09:00,17:00,doctor,2,emergency:1
W_2025-10-11_DOCTOR_EVENING,2025-10-11,13:30,21:30,doctor,1,emergency:1
W_2025-10-11_DOCTOR_NIGHT_A,2025-10-11,22:30,23:30,doctor,1,emergency:1
W_2025-10-12_DOCTOR_NIGHT_B,2025-10-12,00:30,06:30,doctor,1,emergency:1
W_2025-10-11_TRIAGE_PEAK,2025-10-11,11:00,19:00,triage,2,first_aid:1
W_2025-10-11_RECEP_DAY,2025-10-11,07:30,15:30,receptionist,1,admin:1
