employee_id,shift_id,score
E030,S_2025-10-06_NURSE_MORNING,2
E020,S_2025-10-06_NURSE_MORNING,1
E019,S_2025-10-06_NURSE_MORNING,2
E034,S_2025-10-06_NURSE_MORNING,1
E024,S_2025-10-06_NURSE_MORNING,2
E049,S_2025-10-06_NURSE_MORNING,1
E049,S_2025-10-07_ICU_NIGHT_B,-1
E033,S_2025-10-07_ICU_NIGHT_B,-1
E006,S_2025-10-07_ICU_NIGHT_B,-1
E038,S_2025-10-06_DOCTOR_NIGHT_A,-1
E037,S_2025-10-06_DOCTOR_NIGHT_A,-1
E050,S_2025-10-06_DOCTOR_NIGHT_A,-1
E032,S_2025-10-06_RAD_DAY,1
E038,S_2025-10-06_RAD_DAY,1
E020,S_2025-10-07_NURSE_MORNING,1
E035,S_2025-10-07_NURSE_MORNING,2
E044,S_2025-10-07_NURSE_MORNING,2
E010,S_2025-10-07_NURSE_MORNING,2
E034,S_2025-10-07_NURSE_MORNING,1
E028,S_2025-10-07_NURSE_MORNING,2
E003,S_2025-10-08_ICU_NIGHT_B,-1
E049,S_2025-10-08_ICU_NIGHT_B,-1
E048,S_2025-10-08_ICU_NIGHT_B,-1
E008,S_2025-10-07_DOCTOR_NIGHT_A,-1
E027,S_2025-10-07_DOCTOR_NIGHT_A,-1
E012,S_2025-10-07_DOCTOR_NIGHT_A,-1
E032,S_2025-10-07_RAD_DAY,1
E002,S_2025-10-07_RAD_DAY,1
E048,S_2025-10-08_NURSE_MORNING,1
E028,S_2025-10-08_NURSE_MORNING,2
E022,S_2025-10-08_NURSE_MORNING,2
E030,S_2025-10-08_NURSE_MORNING,2
E019,S_2025-10-08_NURSE_MORNING,2
E010,S_2025-10-08_NURSE_MORNING,2
E002,S_2025-10-09_ICU_NIGHT_B,-1
E049,S_2025-10-09_ICU_NIGHT_B,-1
E046,S_2025-10-09_ICU_NIGHT_B,-1
E027,S_2025-10-08_DOCTOR_NIGHT_A,-1
E018,S_2025-10-08_DOCTOR_NIGHT_A,-1
E008,S_2025-10-08_DOCTOR_NIGHT_A,-1
E029,S_2025-10-08_RAD_DAY,1
E009,S_2025-10-08_RAD_DAY,1
E048,S_2025-10-09_NURSE_MORNING,1
E030,S_2025-10-09_NURSE_MORNING,1
E020,S_2025-10-09_NURSE_MORNING,1
E035,S_2025-10-09_NURSE_MORNING,2
E028,S_2025-10-09_NURSE_MORNING,1
E036,S_2025-10-09_NURSE_MORNING,1
E006,S_2025-10-10_ICU_NIGHT_B,-1
E046,S_2025-10-10_ICU_NIGHT_B,-1
E001,S_2025-10-10_ICU_NIGHT_B,-1
E050,S_2025-10-09_DOCTOR_NIGHT_A,-1
E042,S_2025-10-09_DOCTOR_NIGHT_A,-1
E008,S_2025-10-09_DOCTOR_NIGHT_A,-1
E038,S_2025-10-09_RAD_DAY,1
E002,S_2025-10-09_RAD_DAY,1
E049,S_2025-10-10_NURSE_MORNING,1
E034,S_2025-10-10_NURSE_MORNING,2
E044,S_2025-10-10_NURSE_MORNING,1
E036,S_2025-10-10_NURSE_MORNING,2
E022,S_2025-10-10_NURSE_MORNING,2
E035,S_2025-10-10_NURSE_MORNING,1
E003,S_2025-10-11_ICU_NIGHT_B,-1
E002,S_2025-10-11_ICU_NIGHT_B,-1
E001,S_2025-10-11_ICU_NIGHT_B,-1
E027,S_2025-10-10_DOCTOR_NIGHT_A,-1
E038,S_2025-10-10_DOCTOR_NIGHT_A,-1
E018,S_2025-10-10_DOCTOR_NIGHT_A,-1
E032,S_2025-10-10_RAD_DAY,1
E009,S_2025-10-10_RAD_DAY,1
E020,S_2025-10-11_NURSE_MORNING,1
E030,S_2025-10-11_NURSE_MORNING,1
E036,S_2025-10-11_NURSE_MORNING,2
E011,S_2025-10-11_NURSE_MORNING,2
E014,S_2025-10-11_NURSE_MORNING,1
E022,S_2025-10-11_NURSE_MORNING,2
E003,S_2025-10-12_ICU_NIGHT_B,-1
E002,S_2025-10-12_ICU_NIGHT_B,-1
E046,S_2025-10-12_ICU_NIGHT_B,-1
E038,S_2025-10-11_DOCTOR_NIGHT_A,-1
E007,S_2025-10-11_DOCTOR_NIGHT_A,-1
E004,S_2025-10-11_DOCTOR_NIGHT_A,-1
E032,S_2025-10-11_RAD_DAY,1
E038,S_2025-10-11_RAD_DAY,1
E030,S_2025-10-12_NURSE_MORNING,1
E010,S_2025-10-12_NURSE_MORNING,1
E048,S_2025-10-12_NURSE_MORNING,2
E049,S_2025-10-12_NURSE_MORNING,1
E024,S_2025-10-12_NURSE_MORNING,1
E036,S_2025-10-12_NURSE_MORNING,2
E049,S_2025-10-13_ICU_NIGHT_B,-1
E002,S_2025-10-13_ICU_NIGHT_B,-1
E046,S_2025-10-13_ICU_NIGHT_B,-1
E026,S_2025-10-12_DOCTOR_NIGHT_A,-1
E037,S_2025-10-12_DOCTOR_NIGHT_A,-1
E038,S_2025-10-12_DOCTOR_NIGHT_A,-1
E038,S_2025-10-12_RAD_DAY,1
E029,S_2025-10-12_RAD_DAY,1
