employee_id,shift_id,is_available
E006,S_2025-10-06_NURSE_MORNING,1
E010,S_2025-10-06_NURSE_MORNING,1
E011,S_2025-10-06_NURSE_MORNING,1
E013,S_2025-10-06_NURSE_MORNING,1
E014,S_2025-10-06_NURSE_MORNING,1
E015,S_2025-10-06_NURSE_MORNING,1
E019,S_2025-10-06_NURSE_MORNING,1
E020,S_2025-10-06_NURSE_MORNING,1
E022,S_2025-10-06_NURSE_MORNING,1
E024,S_2025-10-06_NURSE_MORNING,1
E028,S_2025-10-06_NURSE_MORNING,1
E030,S_2025-10-06_NURSE_MORNING,1
E034,S_2025-10-06_NURSE_MORNING,1
E035,S_2025-10-06_NURSE_MORNING,1
E036,S_2025-10-06_NURSE_MORNING,1
E044,S_2025-10-06_NURSE_MORNING,1
E045,S_2025-10-06_NURSE_MORNING,1
E048,S_2025-10-06_NURSE_MORNING,1
E049,S_2025-10-06_NURSE_MORNING,1
E006,S_2025-10-06_NURSE_EVENING,1
E010,S_2025-10-06_NURSE_EVENING,1
E011,S_2025-10-06_NURSE_EVENING,1
E013,S_2025-10-06_NURSE_EVENING,1
E014,S_2025-10-06_NURSE_EVENING,1
E015,S_2025-10-06_NURSE_EVENING,1
E019,S_2025-10-06_NURSE_EVENING,1
E020,S_2025-10-06_NURSE_EVENING,1
E022,S_2025-10-06_NURSE_EVENING,1
E024,S_2025-10-06_NURSE_EVENING,1
E028,S_2025-10-06_NURSE_EVENING,1
E030,S_2025-10-06_NURSE_EVENING,1
E034,S_2025-10-06_NURSE_EVENING,1
E035,S_2025-10-06_NURSE_EVENING,1
E036,S_2025-10-06_NURSE_EVENING,1
E044,S_2025-10-06_NURSE_EVENING,1
E045,S_2025-10-06_NURSE_EVENING,1
E048,S_2025-10-06_NURSE_EVENING,1
E049,S_2025-10-06_NURSE_EVENING,1
E006,S_2025-10-06_NURSE_NIGHT_A,1
E010,S_2025-10-06_NURSE_NIGHT_A,1
E011,S_2025-10-06_NURSE_NIGHT_A,1
E013,S_2025-10-06_NURSE_NIGHT_A,1
E014,S_2025-10-06_NURSE_NIGHT_A,1
E015,S_2025-10-06_NURSE_NIGHT_A,1
E019,S_2025-10-06_NURSE_NIGHT_A,1
E020,S_2025-10-06_NURSE_NIGHT_A,1
E022,S_2025-10-06_NURSE_NIGHT_A,1
E024,S_2025-10-06_NURSE_NIGHT_A,1
E028,S_2025-10-06_NURSE_NIGHT_A,1
E030,S_2025-10-06_NURSE_NIGHT_A,1
E034,S_2025-10-06_NURSE_NIGHT_A,1
E035,S_2025-10-06_NURSE_NIGHT_A,1
E036,S_2025-10-06_NURSE_NIGHT_A,1
E044,S_2025-10-06_NURSE_NIGHT_A,1
E045,S_2025-10-06_NURSE_NIGHT_A,1
E048,S_2025-10-06_NURSE_NIGHT_A,1
E049,S_2025-10-06_NURSE_NIGHT_A,1
E006,S_2025-10-07_NURSE_NIGHT_B,1
E010,S_2025-10-07_NURSE_NIGHT_B,1
E011,S_2025-10-07_NURSE_NIGHT_B,1
E013,S_2025-10-07_NURSE_NIGHT_B,1
E014,S_2025-10-07_NURSE_NIGHT_B,1
E015,S_2025-10-07_NURSE_NIGHT_B,1
E019,S_2025-10-07_NURSE_NIGHT_B,1
E020,S_2025-10-07_NURSE_NIGHT_B,1
E022,S_2025-10-07_NURSE_NIGHT_B,1
E024,S_2025-10-07_NURSE_NIGHT_B,1
E028,S_2025-10-07_NURSE_NIGHT_B,1
E030,S_2025-10-07_NURSE_NIGHT_B,1
E034,S_2025-10-07_NURSE_NIGHT_B,1
E035,S_2025-10-07_NURSE_NIGHT_B,1
E036,S_2025-10-07_NURSE_NIGHT_B,1
E044,S_2025-10-07_NURSE_NIGHT_B,1
E045,S_2025-10-07_NURSE_NIGHT_B,1
E048,S_2025-10-07_NURSE_NIGHT_B,1
E049,S_2025-10-07_NURSE_NIGHT_B,1
E001,S_2025-10-06_ICU_MORNING,1
E002,S_2025-10-06_ICU_MORNING,1
E003,S_2025-10-06_ICU_MORNING,1
E006,S_2025-10-06_ICU_MORNING,1
E033,S_2025-10-06_ICU_MORNING,1
E046,S_2025-10-06_ICU_MORNING,1
E048,S_2025-10-06_ICU_MORNING,1
E049,S_2025-10-06_ICU_MORNING,1
E001,S_2025-10-06_ICU_EVENING,1
E002,S_2025-10-06_ICU_EVENING,1
E003,S_2025-10-06_ICU_EVENING,1
E006,S_2025-10-06_ICU_EVENING,1
E033,S_2025-10-06_ICU_EVENING,1
E046,S_2025-10-06_ICU_EVENING,1
E048,S_2025-10-06_ICU_EVENING,1
E049,S_2025-10-06_ICU_EVENING,1
E001,S_2025-10-06_ICU_NIGHT_A,1
E002,S_2025-10-06_ICU_NIGHT_A,1
E003,S_2025-10-06_ICU_NIGHT_A,1
E006,S_2025-10-06_ICU_NIGHT_A,1
E033,S_2025-10-06_ICU_NIGHT_A,1
E046,S_2025-10-06_ICU_NIGHT_A,1
E048,S_2025-10-06_ICU_NIGHT_A,1
E049,S_2025-10-06_ICU_NIGHT_A,1
E001,S_2025-10-07_ICU_NIGHT_B,1
E002,S_2025-10-07_ICU_NIGHT_B,1
E003,S_2025-10-07_ICU_NIGHT_B,1
E006,S_2025-10-07_ICU_NIGHT_B,1
E033,S_2025-10-07_ICU_NIGHT_B,1
E046,S_2025-10-07_ICU_NIGHT_B,1
E048,S_2025-10-07_ICU_NIGHT_B,1
E049,S_2025-10-07_ICU_NIGHT_B,1
E004,S_2025-10-06_DOCTOR_DAY,1
E007,S_2025-10-06_DOCTOR_DAY,1
E008,S_2025-10-06_DOCTOR_DAY,1
E012,S_2025-10-06_DOCTOR_DAY,1
E018,S_2025-10-06_DOCTOR_DAY,1
E026,S_2025-10-06_DOCTOR_DAY,1
E027,S_2025-10-06_DOCTOR_DAY,1
E037,S_2025-10-06_DOCTOR_DAY,1
E038,S_2025-10-06_DOCTOR_DAY,1
E042,S_2025-10-06_DOCTOR_DAY,1
E050,S_2025-10-06_DOCTOR_DAY,1
E004,S_2025-10-06_DOCTOR_EVENING,1
E007,S_2025-10-06_DOCTOR_EVENING,1
E008,S_2025-10-06_DOCTOR_EVENING,1
E012,S_2025-10-06_DOCTOR_EVENING,1
E018,S_2025-10-06_DOCTOR_EVENING,1
E026,S_2025-10-06_DOCTOR_EVENING,1
E027,S_2025-10-06_DOCTOR_EVENING,1
