employee_id,overtime_minutes,overtime_hours
E001,2226644495664,37110741594.4
E002,140728198922784,2345469982046.4
E003,2226644495808,37110741596.8
E004,2226644495856,37110741597.6
E005,140728198922784,2345469982046.4
E006,2226644479088,37110741318.13333
E007,2226644496000,37110741600.0
E008,140728198922784,2345469982046.4
E009,2226644496096,37110741601.6
E010,4,0.06666666666666667
E011,4,0.06666666666666667
E012,3,0.05
E013,3,0.05
E014,4,0.06666666666666667
E015,4,0.06666666666666667
E016,3,0.05
E017,3,0.05
E018,2226644479472,37110741324.53333
E019,2226644496528,37110741608.8
E020,9,0.15
E021,9,0.15
E022,5,0.08333333333333333
E023,5,0.08333333333333333
E024,5,0.08333333333333333
E025,5,0.08333333333333333
E026,7659227965063061350,1.276537994177177e+17
E027,7659227965063061350,1.276537994177177e+17
E028,9,0.15
E029,9,0.15
E030,5,0.08333333333333333
E031,5,0.08333333333333333
E032,3,0.05
E033,3,0.05
E034,3,0.05
E035,3,0.05
E036,5,0.08333333333333333
E037,5,0.08333333333333333
E038,4,0.06666666666666667
E039,4,0.06666666666666667
E040,140728198923456,2345469982057.6
E041,2226644497440,37110741624.0
E042,4,0.06666666666666667
E043,4,0.06666666666666667
E044,7717312733821271865,1.286218788970212e+17
E045,7717312733821271865,1.286218788970212e+17
E046,0,0.0
E047,-36001866978995870,-600031116316597.9
E048,36055727058932066,600928784315534.4
E049,0,0.0
E050,0,0.0
